order_id,customer_id,order_date,product_category,product_name,quantity,unit_price,total_amount,payment_method,shipping_status
1001,1,2022-03-05,Electronics,Wireless Headphones,1,99.99,99.99,Credit Card,Delivered
1002,3,2022-04-12,Home & Kitchen,Blender,1,45.50,45.50,PayPal,Delivered
1003,5,2022-05-18,Clothing,T-Shirt,2,19.99,39.98,Debit Card,Delivered
1004,2,2022-06-22,Books,Python Programming,1,49.95,49.95,Credit Card,Shipped
1005,4,2022-07-30,Electronics,Phone Case,1,25.00,25.00,PayPal,Delivered
1006,7,2022-08-15,Home & Kitchen,Air Fryer,1,89.99,89.99,Credit Card,Delivered
1007,6,2022-09-10,Clothing,Jeans,1,59.99,59.99,Debit Card,Shipped
1008,9,2022-10-25,Electronics,Smart Watch,1,199.99,199.99,Credit Card,Delivered
1009,8,2022-11-05,Home & Kitchen,Knife Set,1,75.00,75.00,PayPal,Processing
1010,10,2022-12-12,Books,Data Science Handbook,1,59.99,59.99,Credit Card,Delivered
1011,12,2023-01-18,Electronics,Tablet,1,299.99,299.99,Credit Card,Shipped
1012,11,2023-02-20,Clothing,Winter Jacket,1,129.99,129.99,Debit Card,Delivered
1013,14,2023-03-05,Home & Kitchen,Mixer,1,120.00,120.00,PayPal,Processing
1014,13,2023-04-10,Electronics,Laptop,1,899.99,899.99,Credit Card,Delivered
1015,16,2023-05-15,Books,AI Fundamentals,1,39.99,39.99,Debit Card,Shipped
1016,15,2023-06-20,Clothing,Sneakers,1,79.99,79.99,Credit Card,Delivered
1017,18,2023-07-25,Home & Kitchen,Vacuum Cleaner,1,199.99,199.99,PayPal,Processing
1018,17,2023-08-30,Electronics,Gaming Console,1,499.99,499.99,Credit Card,Shipped
1019,20,2023-09-05,Books,Cooking Recipes,1,24.99,24.99,Debit Card,Delivered
1020,19,2023-10-10,Clothing,Dress Shirt,2,35.00,70.00,Credit Card,Delivered
1021,22,2023-11-15,Electronics,Earbuds,1,79.99,79.99,PayPal,Shipped
1022,21,2023-12-20,Home & Kitchen,Coffee Maker,1,65.00,65.00,Credit Card,Delivered
1023,24,2024-01-25,Books,History of Technology,1,29.99,29.99,Debit Card,Processing
1024,23,2024-02-29,Clothing,Swimwear,1,49.99,49.99,Credit Card,Shipped
1025,26,2024-03-05,Electronics,External Hard Drive,1,89.99,89.99,PayPal,Delivered
1026,25,2024-04-10,Home & Kitchen,Toaster,1,35.00,35.00,Credit Card,Delivered
1027,28,2024-05-15,Books,Fiction Novel,1,14.99,14.99,Debit Card,Shipped
1028,27,2024-06-20,Clothing,Summer Hat,1,22.99,22.99,Credit Card,Delivered
1029,30,2024-07-25,Electronics,Bluetooth Speaker,1,59.99,59.99,PayPal,Processing
1030,29,2024-08-30,Home & Kitchen,Dinnerware Set,1,85.00,85.00,Credit Card,Shipped
1031,32,2024-09-05,Books,Business Strategy,1,34.99,34.99,Debit Card,Delivered
1032,31,2024-10-10,Clothing,Formal Suit,1,199.99,199.99,Credit Card,Delivered
1033,34,2024-11-15,Electronics,Fitness Tracker,1,89.99,89.99,PayPal,Shipped
1034,33,2024-12-20,Home & Kitchen,Food Processor,1,75.00,75.00,Credit Card,Processing
1035,36,2025-01-25,Books,Science Fiction,1,12.99,12.99,Debit Card,Delivered
1036,35,2025-02-28,Clothing,Winter Boots,1,89.99,89.99,Credit Card,Shipped
1037,38,2025-03-05,Electronics,Webcam,1,45.00,45.00,PayPal,Delivered
1038,37,2025-04-10,Home & Kitchen,Pressure Cooker,1,110.00,110.00,Credit Card,Processing
1039,40,2025-05-15,Books,Self-Help Guide,1,19.99,19.99,Debit Card,Shipped
1040,39,2025-06-20,Clothing,Yoga Pants,2,29.99,59.98,Credit Card,Delivered
1041,42,2025-07-25,Electronics,Printer,1,129.99,129.99,PayPal,Shipped
1042,41,2025-08-30,Home & Kitchen,Stand Mixer,1,150.00,150.00,Credit Card,Processing
1043,44,2025-09-05,Books,Biography,1,17.99,17.99,Debit Card,Delivered
1044,43,2025-10-10,Clothing,Scarf,1,24.99,24.99,Credit Card,Shipped
1045,46,2025-11-15,Electronics,Tablet Stand,1,19.99,19.99,PayPal,Delivered
1046,45,2025-12-20,Home & Kitchen,Slow Cooker,1,45.00,45.00,Credit Card,Processing
1047,48,2026-01-25,Books,Poetry Collection,1,9.99,9.99,Debit Card,Shipped
1048,47,2026-02-28,Clothing,Leather Jacket,1,149.99,149.99,Credit Card,Delivered
1049,50,2026-03-05,Electronics,Wireless Charger,1,29.99,29.99,PayPal,Processing
1050,49,2026-04-10,Home & Kitchen,Cutting Board Set,1,35.00,35.00,Credit Card,Shipped
