order_id,customer_id,order_date,product_id,product_name,quantity,unit_price,total_amount,payment_method,shipping_status
1001,1,2022-02-10,P001,Wireless Headphones,1,99.99,99.99,Credit Card,Delivered
1002,2,2022-02-12,P002,Smart Watch,1,199.99,199.99,PayPal,Delivered
1003,3,2022-02-15,P003,Bluetooth Speaker,2,59.99,119.98,Credit Card,Delivered
1004,1,2022-03-05,P004,Phone Case,3,19.99,59.97,Debit Card,Delivered
1005,4,2022-03-10,P005,Wireless Charger,1,29.99,29.99,PayPal,Delivered
1006,5,2022-03-12,P006,Tablet Stand,2,24.99,49.98,Credit Card,Delivered
1007,6,2022-03-18,P007,USB-C Cable,5,9.99,49.95,Debit Card,Delivered
1008,7,2022-03-20,P008,Power Bank,1,49.99,49.99,Credit Card,Delivered
1009,8,2022-03-22,P009,Screen Protector,2,14.99,29.98,PayPal,Delivered
1010,9,2022-03-25,P010,Earbuds,1,79.99,79.99,Credit Card,Delivered
1011,10,2022-03-28,P011,Fitness Tracker,1,89.99,89.99,Debit Card,Delivered
1012,11,2022-04-02,P012,Smart Bulb,3,24.99,74.97,Credit Card,Delivered
1013,12,2022-04-05,P013,External SSD,1,129.99,129.99,PayPal,Delivered
1014,13,2022-04-08,P014,Wireless Mouse,2,34.99,69.98,Credit Card,Delivered
1015,14,2022-04-10,P015,Mechanical Keyboard,1,109.99,109.99,Debit Card,Delivered
1016,15,2022-04-12,P016,Monitor Stand,1,59.99,59.99,Credit Card,Delivered
1017,16,2022-04-15,P017,Webcam,1,79.99,79.99,PayPal,Delivered
1018,17,2022-04-18,P018,Noise Cancelling Headphones,1,299.99,299.99,Credit Card,Delivered
1019,18,2022-04-20,P019,Smart Plug,4,19.99,79.96,Debit Card,Delivered
1020,19,2022-04-22,P020,HDMI Cable,2,14.99,29.98,Credit Card,Delivered
1021,20,2022-04-25,P021,Wireless Earbuds,1,129.99,129.99,PayPal,Delivered
1022,21,2022-04-28,P022,Portable Monitor,1,249.99,249.99,Credit Card,Delivered
1023,22,2022-05-02,P023,Gaming Mouse,1,69.99,69.99,Debit Card,Delivered
1024,23,2022-05-05,P024,Laptop Sleeve,1,39.99,39.99,Credit Card,Delivered
1025,24,2022-05-08,P025,USB Hub,2,29.99,59.98,PayPal,Delivered
1026,25,2022-05-10,P026,Wireless Keyboard,1,59.99,59.99,Credit Card,Delivered
1027,26,2022-05-12,P027,Smart Scale,1,49.99,49.99,Debit Card,Delivered
1028,27,2022-05-15,P028,Desk Lamp,1,39.99,39.99,Credit Card,Delivered
1029,28,2022-05-18,P029,Phone Mount,3,12.99,38.97,PayPal,Delivered
1030,29,2022-05-20,P030,Bluetooth Adapter,1,19.99,19.99,Credit Card,Delivered
1031,30,2022-05-22,P031,External HDD,1,89.99,89.99,Debit Card,Delivered
1032,31,2022-05-25,P032,Wireless Presenter,1,29.99,29.99,Credit Card,Delivered
1033,32,2022-05-28,P033,Smart Doorbell,1,199.99,199.99,PayPal,Delivered
1034,33,2022-06-02,P034,VR Headset,1,349.99,349.99,Credit Card,Delivered
1035,34,2022-06-05,P035,Graphic Tablet,1,149.99,149.99,Debit Card,Delivered
1036,35,2022-06-08,P036,Docking Station,1,119.99,119.99,Credit Card,Delivered
1037,36,2022-06-10,P037,Smart Thermostat,1,249.99,249.99,PayPal,Delivered
1038,37,2022-06-12,P038,Wireless Charging Pad,2,34.99,69.98,Credit Card,Delivered
1039,38,2022-06-15,P039,Portable Speaker,1,79.99,79.99,Debit Card,Delivered
1040,39,2022-06-18,P040,Action Camera,1,199.99,199.99,Credit Card,Delivered
1041,40,2022-06-20,P041,Smart Lock,1,229.99,229.99,PayPal,Delivered
1042,41,2022-06-22,P042,Electric Scooter,1,499.99,499.99,Credit Card,Delivered
1043,42,2022-06-25,P043,Drone,1,399.99,399.99,Debit Card,Delivered
1044,43,2022-06-28,P044,3D Printer,1,799.99,799.99,Credit Card,Delivered
1045,44,2022-07-02,P045,Robot Vacuum,1,299.99,299.99,PayPal,Delivered
1046,45,2022-07-05,P046,Smart Mirror,1,199.99,199.99,Credit Card,Delivered
1047,46,2022-07-08,P047,Air Purifier,1,179.99,179.99,Debit Card,Delivered
1048,47,2022-07-10,P048,Smart Display,1,149.99,149.99,Credit Card,Delivered
1049,48,2022-07-12,P049,Wireless Security Camera,2,129.99,259.98,PayPal,Delivered
1050,49,2022-07-15,P050,Fitness Smartwatch,1,179.99,179.99,Credit Card,Delivered
1051,50,2022-07-18,P001,Wireless Headphones,1,99.99,99.99,Debit Card,Delivered
1052,1,2022-07-20,P002,Smart Watch,1,199.99,199.99,Credit Card,Delivered
1053,2,2022-07-22,P003,Bluetooth Speaker,1,59.99,59.99,PayPal,Delivered
1054,3,2022-07-25,P004,Phone Case,2,19.99,39.98,Credit Card,Delivered
1055,4,2022-07-28,P005,Wireless Charger,2,29.99,59.98,Debit Card,Delivered
1056,5,2022-08-02,P006,Tablet Stand,1,24.99,24.99,Credit Card,Delivered
1057,6,2022-08-05,P007,USB-C Cable,3,9.99,29.97,PayPal,Delivered
1058,7,2022-08-08,P008,Power Bank,1,49.99,49.99,Credit Card,Delivered
